School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
01G01;Grundschule am Arkonaplatz;51;77;45;45;;52;99;66;52;4
01G01;Grundschule am Arkonaplatz  / SESB;26;65;;24;39;26;64;1;;1
01G02;Papageno-Grundschule;99;200;72;69;9;98;166;80;66;
01G04;Kastanienbaum-Grundschule;65;71;46;46;;67;97;81;62;
01G05;Grundschule Neues Tor;24;23;8;8;;24;14;17;16;
01G05;Grundschule Neues Tor  / SESB;52;57;;49;7;26;79;2;2;
01G07;GutsMuths-Grundschule;64;77;53;53;;65;97;82;65;6
01G08;Grundschule am Brandenburger Tor;55;56;48;46;;49;81;74;46;6
01G08;Grundschule am Brandenburger Tor  /  SESB;52;75;;48;5;52;93;9;8;1
01G10;City-Grundschule;89;112;83;83;;120;119;93;84;
01G11;Kurt-Tucholsky-Grundschule;96;100;66;66;;120;138;100;82;
01G15;Anne-Frank-Grundschule;60;85;55;55;4;63;134;90;60;16
01G16;Moabiter Grundschule;84;49;55;36;;84;52;46;46;
01G18;Carl-Bolle-Grundschule;97;47;55;41;;85;45;41;30;
01G19;Hansa Grundschule;43;101;70;36;25;49;104;81;50;8
01G24;Gottfried-Röhl-Grundschule;85;76;62;49;;72;66;51;43;
01G25;Rudolf-Wissell-Grundschule;120;65;58;51;;100;54;48;42;
01G27;Gesundbrunnen-Grundschule;84;82;64;58;;93;81;60;55;
01G28;Brüder-Grimm-Grundschule;88;82;78;69;;95;75;67;56;
01G29;Wilhelm-Hauff-Grundschule;86;88;62;53;;85;81;65;59;
01G31;Wedding-Grundschule;81;83;67;62;;94;79;68;56;
01G32;Carl-Kraemer-Grundschule;75;80;75;67;;96;65;57;48;
01G35;Humboldthain-Grundschule;84;65;53;37;;96;85;71;54;
01G36;Andersen-Grundschule;75;73;71;62;;72;70;67;45;
01G37;Heinrich-Seidel-Grundschule;84;77;48;48;;101;95;82;69;
01G38;Gustav-Falke-Grundschule;90;114;79;67;;72;101;65;53;
01G39;Vineta-Grundschule;65;66;43;40;;72;66;48;42;
01G40;Möwensee-Grundschule;67;83;71;59;;120;105;92;79;
01G41;Erika-Mann-Grundschule;86;147;88;64;;95;164;106;92;
01G42;Anna-Lindh-Grundschule;124;137;82;72;;125;126;86;78;
01G43;Albert-Gutzmann-Schule;80;102;82;71;;80;103;86;69;
01G44;Allegro-Grundschule;80;80;72;59;;72;71;57;49;
01G45;Leo-Lionni-Grundschule;95;102;81;71;;120;125;111;91;
01G46;Grundschule am Koppenplatz;132;149;100;82;1;168;176;126;82;
01G47;Miriam-Makeba-Grundschule;110;79;58;48;;116;122;82;68;
01K04;Heinrich-von-Stephan-Schule;52;77;;52;22;46;82;17;17;
01K10;Theodor-Heuss-Schule;48;42;;47;;60;38;33;25;
02G01;Spartacus-Grundschule;152;195;;;;156;;189;133;
02G02;Hausburg-Grundschule;48;83;;;;52;;75;47;
02G02;Hausburg-Grundschule (SESB);44;82;;;;52;73;0;53;20
02G03;Justus-v.-Liebig-Grundschule;97;166;;;;127;;164;113;
02G04;Pettenkofer-Grundschule;115;161;;;;123;;137;107;
02G07;Ludwig-Hoffmann-Grundschule;71;115;;;;100;;119;87;
02G08;Grundschule am Traveplatz;75;95;;;;75;;75;62;
02G09;Zille-Grundschule;117;117;;;;96;;125;78;
02G10;Modersohn-Grundschule;173;213;;;;155;;207;126;
02G11;Thalia-Grundschule;74;94;;;;100;;117;87;
02G12;Kurt-Schumacher-Grundschule;45;124;;;;48;;89;32;
02G13;Charlotte-Salomon-Grundschule;64;76;;;;64;;91;74;
02G14;Galilei-Grundschule;67;95;;;;71;;91;59;
02G14;Galilei-Grundschule/SESB;;;;;;52;39;0;32;
02G18;Nürtingen-Grundschule;115;124;;;;109;;95;92;
02G19;Fanny-Hensel-Grundschule;49;;;;;48;;92;81;
02G32;Clara-Grunwald-Grundschule;45;;;;;45;;;;
02G20;Bürgermeister-Herz-Grundschule;83;99;;;;78;;102;78;
02G21;Reinhardswald-Grundschule;99;119;;;;112;;97;91;
02G22;Jens-Nydahl-Grundschule;68;92;;;;89;;90;62;
02G23;Fichtelgebirge-Grundschule;82;77;;;;68;;54;50;
02G24;Otto-Wels-Grundschule;117;145;;;;123;;94;62;
02G26;Lemgo-Grundschule;51;84;;;;66;;87;54;
02G26;Lemgo-Grundschule (SESB);50;26;;;;52;57;0;53;
02G27;Hunsrück-Grundschule;70;114;;;;113;;98;76;
02G29;Heinrich-Zille-Grundschule;81;77;;;;62;;61;51;
02G31;Adolf-Glaßbrenner-Grundschule;76;87;;;;77;;84;71;
02G33;Aziz-Nesin-Grundschule;50;37;;;;52;50;0;49;1
02G34;Jane-Goodall-Grundschule;49;75;;;;75;;92;63;
02G35;Rosa-Parks-Grundschule;112;150;;;;115;;123;98;
02G36;Blumen-Grundschule;133;169;;;;101;;162;89;
02K02;Carl-von-Ossietzky-Schule;46;46;;;;45;78;0;45;
02K04;Lina-Morgenstern-Schule;50;138;;;;73;;81;58;
02S01;Temple-Grandin-Schule;14;46;;;;27;62;0;27;35
03G01;Grundschule am Hamburger Platz;96;91;93;93;;91;86;81;75;
03G02;Heinrich-Roller-Grundschule;115;115;110;110;;85;85;72;72;
03G03;Grundschule am Kollwitzplatz;76;72;76;76;;73;73;46;46;
03G04;Grundschule an der Marie;98;100;88;88;;88;75;64;64;
03G05;Homer-Grundschule;115;83;66;66;;97;67;63;63;
03G06;Bötzow-Grundschule;78;96;73;73;;78;65;37;37;
03G08;Grundschule am Planetarium;104;103;86;86;;78;70;51;51;
03G09;Thomas-Mann-Grundschule;110;108;107;107;;114;101;70;70;
03G10;Grundschule am Hohen Feld;100;103;89;89;;110;99;96;96;
03G11;Grundschule am Falkplatz;147;147;146;146;;141;139;111;111;
03G12;Paul-Lincke-Grundschule;116;117;101;101;;78;67;58;58;
03G13;Rudolf-Dörrier-Grundschule;130;116;104;104;;130;109;88;88;
03G14;Bornholmer-Grundschule;104;118;104;104;;103;103;103;103;
03G15;Grundschule am Senefelder Platz;115;102;104;104;;103;102;65;65;
03G16;Teutoburger-Grundschule;104;104;101;101;;78;78;65;65;
03G17;Grundschule am Weißen See;104;123;73;73;;104;89;74;74;
03G18;Picasso-Grundschule;115;125;115;115;;106;107;93;93;
03G20;Grundschule im Moselviertel;78;83;70;70;;78;64;56;56;
03G21;Grundschule unter den Bäumen;78;78;78;78;;78;84;84;84;
03G22;Grundschule am Wasserturm;104;119;100;100;;104;93;82;82;
03G23;Grundschule Alt-Karow;78;77;76;76;;78;78;57;57;
03G24;Panketal-Grundschule;122;122;109;109;;118;106;93;93;
