School_ID;Name;HIN_Wechselwunsch_Total_19_20;HIN_Wechselwunsch_In_Bezirk_19_20;HIN_Wechselwunsch_Aus_a_Bezirk_19_20;AUS_Wechselwunsch_Total_19_20;AUS_Wechselwunsch_In_Bezirk_19_20;AUS_Wechselwunsch_Aus_a_Bezirk_19_20;HIN_Wechselwunsch_Total_20_21;HIN_Wechselwunsch_In_Bezirk_20_21;HIN_Wechselwunsch_Aus_a_Bezirk_20_21;HIN_Wechselwunsch_Aufnahme_20_21;HIN_Wechselwunsch_Ablehung_20_21;AUS_Wechselwunsch_Total_20_21;AUS_Wechselwunsch_In_Bezirk_20_21;AUS_Wechselwunsch_Aus_a_Bezirk_20_21;AUS_Wechselwunsch_Aufnahme_20_21;AUS_Wechselwunsch_Ablehung_20_21
01G01;Grundschule am Arkonaplatz;32;28;4;15;0;15;33;26;7;1;30;11;11;;7;3
01G01;Grundschule am Arkonaplatz / SESB;65;25;40;;;;64;23;41;24;35;;;;;
01G02;Papageno-Grundschule;112;108;4;22;6;16;86;82;4;15;56;14;14;;11;1
01G04;Kastanienbaum-Grundschule;21;17;4;45;15;30;20;15;5;11;8;36;36;;20;5
01G05;Grundschule Neues Tor;17;16;1;8;7;1;22;20;2;1;4;14;14;;8;3
01G05;Grundschule Neues Tor  / SESB;57;29;28;;;;79;36;43;48;27;;;;;
01G07;GutsMuths-Grundschule;13;5;8;32;8;24;15;6;9;;15;25;25;;10;13
01G08;Grundschule am Brandenburger Tor;8;3;5;38;18;20;7;2;5;;7;50;50;;24;19
01G08;Grundschule am Brandenburger Tor / SESB;75;28;47;;;;93;41;52;48;43;;;;;
01G10;City-Grundschule;33;7;26;56;12;44;26;3;23;24;;53;53;;19;30
01G11;Kurt-Tucholsky-Grundschule;37;36;1;66;40;26;38;38;;19;14;49;49;;11;12
01G15;Anne-Frank-Grundschule;20;19;1;15;6;9;45;39;6;;40;7;7;;5;1
01G16;Moabiter Grundschule;9;9;;47;27;20;6;6;;4;;34;34;;13;19
01G18;Carl-Bolle-Grundschule;9;9;;148;115;33;4;4;;3;;99;99;;18;73
01G19;Hansa Grundschule;32;31;1;12;8;4;23;23;;;20;16;16;;8;8
01G24;Gottfried-Röhl-Grundschule;15;14;1;45;15;30;15;14;1;5;8;41;41;;17;19
01G25;Rudolf-Wissell-Grundschule;8;5;3;86;39;47;6;3;3;5;;80;80;;30;36
01G27;Gesundbrunnen-Grundschule;18;18;;66;42;24;21;21;;9;8;55;55;;27;28
01G28;Brüder-Grimm-Grundschule;6;5;1;67;39;28;8;6;2;5;;64;64;;21;33
01G29;Wilhelm-Hauff-Grundschule;27;27;;36;18;18;15;14;1;8;5;38;38;;15;16
01G31;Wedding-Grundschule;17;15;2;43;35;8;11;10;1;10;;29;29;;10;13
01G32;Carl-Kraemer-Grundschule;6;4;2;21;8;13;8;8;;8;;26;26;;14;9
01G35;Humboldthain-Grundschule;14;14;;35;28;7;14;13;1;13;;75;75;;27;40
01G36;Andersen-Grundschule;2;2;;67;58;9;3;3;;2;;19;19;;10;6
01G37;Heinrich-Seidel-Grundschule;7;7;;81;42;39;13;10;3;13;;62;62;;27;25
01G38;Gustav-Falke-Grundschule;35;34;1;77;64;13;36;34;2;8;27;63;63;;28;26
01G39;Vineta-Grundschule;22;20;2;35;30;5;18;16;2;6;12;36;36;;17;13
01G40;Möwensee-Grundschule;15;13;2;26;11;15;13;12;1;11;;19;19;;6;11
01G41;Erika-Mann-Grundschule;60;59;1;20;11;9;58;55;3;;52;13;13;;4;6
01G42;Anna-Lindh-Grundschule;55;52;3;24;17;7;40;33;7;13;19;24;24;;12;9
01G43;Albert-Gutzmann-Schule;20;20;;62;11;51;17;16;1;;15;51;51;;21;25
01G44;Allegro-Grundschule;19;1;18;52;6;46;14;1;13;2;9;61;61;;23;25
01G45;Leo-Lionni-Grundschule;21;19;2;54;43;11;14;13;1;8;1;42;42;;17;21
02G01;Spartacus-Grundschule;33;18;15;72;33;39;23;18;5;23;;54;29;25;37;17
02G02;Hausburg-Grundschule;10;4;6;47;21;26;5;3;2;5;;43;26;17;31;12
02G02;Hausburg-Grundschule (SESB);82;30;52;;;;73;22;51;53;20;;;;;
02G03;Justus-von-Liebig-Grundschule;43;24;19;62;38;24;25;9;16;14;11;51;40;11;26;25
02G04;Pettenkofer-Grundschule;46;34;12;31;19;12;35;21;14;16;19;24;19;5;14;10
02G07;Ludwig-Hoffmann-Grundschule;39;37;2;33;27;6;31;28;3;13;18;27;22;5;20;7
02G08;Grundschule am Traveplatz;17;8;9;29;24;5;13;6;7;13;;26;18;8;8;18
02G09;Zille-Grundschule;22;18;4;35;25;10;18;6;2;18;;34;27;7;27;7
02G10;Modersohn-Grundschule;20;13;7;46;24;22;29;26;3;29;;54;41;13;42;12
02G11;Thalia-Grundschule;7;2;5;9;4;5;23;4;19;13;10;18;16;2;11;7
02G12;Kurt-Schumacher-Grundschule;3;3;;73;48;25;7;5;2;7;;80;56;24;57;23
02G13;Charlotte-Salomon-Grundschule;27;20;7;13;6;7;22;17;5;;22;22;10;12;17;5
02G14;Galilei-Grundschule;14;10;4;33;22;11;12;12;;12;;46;32;14;32;14
02G14;Galilei-Grundschule (SESB);;;;;;;39;11;21;32;7;;;;;
02G18;Nürtingen-Grundschule;41;22;19;47;39;8;50;20;30;15;35;32;25;7;18;14
02G19;Fanny-Hensel-Grundschule;19;13;6;;;;22;19;3;18;4;33;15;18;20;13
02G32;Clara-Grunwald-Grundschule;54;38;16;;;;33;19;14;;33;;;;;
02G20;Bürgermeister-Herz-Grundschule;57;52;5;32;21;11;52;47;5;;52;28;20;8;24;4
02G21;Reinhardswald-Grundschule;89;66;23;16;6;10;69;52;17;23;46;7;5;2;5;2
02G22;Jens-Nydahl-Grundschule;9;7;2;54;44;10;10;8;2;10;;60;57;3;29;31
02G23;Fichtelgebirge-Grundschule;35;15;20;13;6;7;37;12;25;17;20;18;13;5;5;13
02G24;Otto-Wels-Grundschule;17;17;;83;56;27;19;19;;19;;55;37;18;30;25
02G26;Lemgo-Grundschule;3;2;1;50;36;14;5;4;1;5;;78;60;18;34;44
02G26;Lemgo-Grundschule (SESB);30;10;20;;;;57;25;27;53;;;;;;
02G27;Hunsrück-Grundschule;35;30;5;48;35;13;42;24;18;38;4;50;41;9;25;25
02G29;Heinrich-Zille-Grundschule;49;41;8;18;9;9;41;31;10;11;30;15;10;5;12;3
02G31;Adolf-Glaßbrenner-Grundschule;21;18;3;13;7;6;19;15;4;6;13;20;8;12;13;7
02G33;Aziz-Nesin-Grundschule;33;9;24;;;;50;21;31;49;1;;;;;
02G34;Jane-Goodall-Grundschule;21;19;2;11;7;4;23;20;3;12;11;14;11;3;8;6
02G35;Rosa-Parks-Grundschule;69;19;50;29;15;14;45;15;30;;45;32;22;10;30;2
02G36;Blumen-Grundschule;20;12;8;63;35;28;12;4;8;12;;61;40;21;44;17
02K02;Carl-von-Ossietzky-Schule;46;27;19;;;;78;51;27;45;33;;;;;
02K04;Lina-Morgenstern-Schule;8;6;2;88;70;18;4;2;2;4;;58;41;17;28;30
02S01;Temple-Gardin-Schule;46;44;2;;;;62;36;26;27;35;;;;;
03G01;Grundschule am Hamburger Platz;25;23;2;57;37;20;23;21;2;;;46;37;9;;
03G02;Heinrich-Roller-Grundschule;27;16;11;23;11;12;28;22;6;;;25;21;4;;
03G03;Grundschule am Kollwitzplatz;31;28;3;8;3;5;26;21;5;;;17;11;6;;
03G04;Grundschule an der Marie;18;16;2;25;12;13;27;26;1;;;24;11;13;;
03G05;Homer-Grundschule;10;8;2;48;21;27;4;4;;;;67;51;16;;
03G06;Bötzow-Grundschule;12;9;3;41;24;17;29;27;2;;;20;14;6;;
03G08;Grundschule am Planetarium;30;28;2;69;51;18;37;35;2;;;64;61;3;;
03G09;Thomas-Mann-Grundschule;15;15;;38;26;12;26;25;1;;;34;29;5;;
03G10;Grundschule am Hohen Feld;10;10;;30;22;8;9;9;;;;30;29;1;;
03G11;Grundschule am Falkplatz;18;6;12;49;24;25;40;7;33;;;53;37;16;;
03G12;Paul-Lincke-Grundschule;2;2;;41;35;6;9;8;1;;;57;47;10;;
03G13;Rudolf-Dörrier-Grundschule;27;14;13;72;51;21;16;5;11;;;66;60;6;;
03G14;Bornholmer-Grundschule;24;14;10;15;8;7;36;13;23;;;27;11;16;;
03G15;Grundschule am Senefelder Platz;25;18;7;34;21;13;43;28;15;;;31;19;12;;
03G16;Teutoburger-Grundschule;26;12;14;22;9;13;25;12;13;;;21;12;9;;
03G17;Grundschule am Weißen See;1;1;;95;55;40;12;12;;;;81;74;7;;
03G18;Picasso-Grundschule;44;41;3;25;10;15;35;33;2;;;15;14;1;;
03G20;Grundschule im Moselviertel;12;7;5;29;16;13;9;6;3;;;39;30;9;;
03G21;Grundschule unter den Bäumen;9;8;1;5;2;3;12;11;1;;;4;3;1;;
03G22;Grundschule am Wasserturm;12;11;1;35;19;16;4;3;1;;;31;29;2;;
03G23;Grundschule Alt-Karow;27;25;2;5;2;3;28;28;;;;10;10;;;
03G24;Panketal-Grundschule;24;23;1;38;30;8;26;26;;;;34;33;1;;
03G25;Carl-Human-Grundschule;28;27;1;28;15;13;22;21;1;;;61;54;7;;
03G26;Arnold-Zweig-Grundschule;22;15;7;40;17;23;17;6;11;;;22;19;3;;
03G27;Elizabeth-Shaw-Grundschule;32;29;3;38;22;16;27;21;6;;;30;27;3;;
03G28;Grundschule im Hasengrund;18;18;;23;14;9;4;4;;;;27;23;4;;
03G29;Grundschule Am Sandhaus;12;12;;75;27;48;14;14;;;;58;54;4;;
