X,Y,FID,GmlID,SCHULNAME,SCHULART,TRAEGER,ZWEIG_01,ZWEIG_02,ZWEIG_03,ZWEIG_04,BEZIRK,ORTSTEIL,F_PLZ,ADRESSE,TELEFON,F_FAX,F_EMAIL,INTERNET,LEITUNG
1492312.6684,6900558.8122,1,s_schulen.03A04,Abendgymnasium Prenzlauer Berg,Abend-Gymnasium,BWF ZV,Abend-Gymnasium,,,,Pankow,Prenzlauer Berg,10439,Driesener Str.22,4254218,4250121,"<a href=""mailto:mail@abendgymnasium-berlin.de"">mail@abendgymnasium-berlin.de</a>","<A HREF=""http://www.abendgymnasium-berlin.de"" TARGET=""Schulen"">zur Website</a>",Lothar Grimmer
1506360.2823,6893137.3384,2,s_schulen.11G06,Adam-Ries-Grundschule,Grundschule,Bezirk,Grundschule,,,,Lichtenberg,Friedrichsfelde,10315,Alt-Friedrichsfelde 66,5135123,51009519,"<a href=""mailto:sekretariat-11g06@gmx.de"">sekretariat-11g06@gmx.de</a>","<A HREF=""http://www.riesg.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Hans Strempel
1489518.4951,6889404.8693,3,s_schulen.02G31,Adolf-Glaßbrenner-Grundschule,Grundschule,Bezirk,Grundschule,,,,Friedrichshain-Kreuzberg,Kreuzberg,10965,Hagelberger Str. 34,50587531,50587535,"<a href=""mailto:Adolf-Glassbrenner-Schule@web.de"">Adolf-Glassbrenner-Schule@web.de</a>","<A HREF=""http://www.Adolf-Glassbrenner-Schule.cidsnet."" TARGET=""Schulen"">zur Website</a>",Rosa Strobl-Zinner
1497367.0754,6886641.1832,4,s_schulen.08S01,Adolf-Reichwein-Schule,"Förderschwerp. ""Lernen""",Bezirk,"Förderschwerp.""Lernen""",,,,Neukölln,Neukölln,12059,Sonnenallee 188,63225111,63225121,"<a href=""mailto:mail@adolf-reichwein-schule.com"">mail@adolf-reichwein-schule.com</a>","<A HREF=""http://www.adolf-reichwein-schule.com"" TARGET=""Schulen"">zur Website</a>",Jens-Jürgen Saurin
1516143.9411,6881522.7397,5,s_schulen.09S04,Ahorn-Schule,Übrige Förderschwerp.,Bezirk,Übrige Förderschwerpunkte,Grundschule,,,Treptow-Köpenick,Friedrichshagen,12587,Peter-Hille-Str. 118,6455031,6455865,"<a href=""mailto:ahorn-schule@web.de"">ahorn-schule@web.de</a>","<A HREF=""http://www.ahorn-schule.de"" TARGET=""Schulen"">zur Website</a>",Thomas von Schade
1504542.6665,6885827.2396,6,s_schulen.09S03,Albatros-Schule,"Förderschwerp. ""Geistige Entwicklung""",Bezirk,"Förderschwerp.""Geistige Entwicklung""",,,,Treptow-Köpenick,Oberschöneweide,12459,Treskowallee 222,53002990,530029920,"<a href=""mailto:albatrosschule-berlin@t-online.de"">albatrosschule-berlin@t-online.de</a>","<A HREF=""http://www.albatros-schule-berlin.de"" TARGET=""Schulen"">zur Website</a>",Knut Hofer
1496393.0335,6881068.9565,7,s_schulen.08Y03,Albert-Einstein-Schule (Gymnasium),Gymnasium,Bezirk,Gymnasien,,,,Neukölln,Britz,12359,Parchimer Allee 109,6009020,60090254,"<a href=""mailto:postmaster@aeo.de"">postmaster@aeo.de</a>","<A HREF=""http://www.aeo.de"" TARGET=""Schulen"">zur Website</a>",Holger Ambrosius
1488771.3957,6900083.3611,8,s_schulen.01S06,Albert-Gutzmann-Schule,Übrige Förderschwerp.,Bezirk,Übrige Förderschwerpunkte,Grundschule,,,Mitte,Gesundbrunnen,13357,Orthstr. 1,46905960,46905970,"<a href=""mailto:schulleitung@gutzmannschule.de"">schulleitung@gutzmannschule.de</a>","<A HREF=""http://www.gutzmannschule.de"" TARGET=""Schulen"">zur Website</a>",Gerlinde Kanacher
1488727.5238,6900038.6677,9,s_schulen.01G43,Albert-Gutzmann-Schule (Grundschule),Grundschule,Bezirk,Grundschule,,,,Mitte,Gesundbrunnen,13357,Orthstr. 1,46905960,46905970,"<a href=""mailto:info@gutzmannschule.de"">info@gutzmannschule.de</a>","<A HREF=""http://www.gutzmannschule.de"" TARGET=""Schulen"">zur Website</a>",Gerlinde Kanacher
1494616.485,6888247.6694,10,s_schulen.08Y02,Albert-Schweitzer-Schule (Gymnasium),Gymnasium,Bezirk,Gymnasien,,,,Neukölln,Neukölln,12043,Karl-Marx-Str. 14,902392422,902392902,"<a href=""mailto:berlin.08Y02@t-online.de"">berlin.08Y02@t-online.de</a>","<A HREF=""http://www.albert-schweitzer-schule-berlin.de"" TARGET=""Schulen"">zur Website</a>",Georg Krapp
1496041.6368,6885455.0664,11,s_schulen.08Y01,Albrecht-Dürer-Schule (Gymnasium),Gymnasium,Bezirk,Gymnasien,,,,Neukölln,Neukölln,12051,Emser Str. 132-137,902392421,6848191,"<a href=""mailto:Email@Albrecht-Duerer-Gymnasium.de"">Email@Albrecht-Duerer-Gymnasium.de</a>","<A HREF=""http://www.Albrecht-Duerer-Gymnasium.de"" TARGET=""Schulen"">zur Website</a>",Rainer Kistermann
1472451.0953,6912797.9228,12,s_schulen.12K11,Albrecht-Haushofer-Schule,Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Reinickendorf,Heiligensee,13503,Kurzebracker Weg 40-46,4319072,4361447,"<a href=""mailto:buero.ahs@googlemail.com"">buero.ahs@googlemail.com</a>","<A HREF=""http://www.albrecht-haushofer-schule.de"" TARGET=""Schulen"">zur Website</a>",Catherine Prahm
1504549.3161,6892490.7628,13,s_schulen.11K01,Alexander-Puschkin-Schule,Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Lichtenberg,Friedrichsfelde,10315,Massower Str. 37,5251429,5251390,"<a href=""mailto:mail@puschkinschule.eu"">mail@puschkinschule.eu</a>","<A HREF=""http://www.puschkinschule.eu"" TARGET=""Schulen"">zur Website</a>",Lilia Orlamünder
1510292.5766,6881026.9873,14,s_schulen.09Y05,Alexander-von-Humboldt-Gymnasium,Gymnasium,Bezirk,Gymnasien,,,,Treptow-Köpenick,Köpenick,12555,Oberspreestr. 173,6519788,6519787,"<a href=""mailto:sekretariat-avh@t-online.de"">sekretariat-avh@t-online.de</a>","<A HREF=""http://www.avh-schule.de"" TARGET=""Schulen"">zur Website</a>",Wolfgang von Schwedler
1478734.5616,6904506.1538,15,s_schulen.12G14,Alfred-Brehm-Grundschule,Grundschule,Bezirk,Grundschule,,,,Reinickendorf,Tegel,13507,Ascheberger Weg 8A,4322408,43555187,"<a href=""mailto:alfred-brehm-gs.-buero@t-online.de"">alfred-brehm-gs.-buero@t-online.de</a>","<A HREF=""http://www.alfred-brehm-schule.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Tatjana Schwarz
1495550.8927,6881553.084,16,s_schulen.08K11,Alfred-Nobel-Schule,Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Neukölln,Britz,12347,Britzer Damm 164,6064032,60081498,"<a href=""mailto:alfred-nobel-schule@t-online.de"">alfred-nobel-schule@t-online.de</a>","<A HREF=""http://www.alfred-nobel-schule.de"" TARGET=""Schulen"">zur Website</a>",Renate Lecke
1487558.8492,6891618.7135,17,s_schulen.01G44,Allegro-Grundschule,Grundschule,Bezirk,Grundschule,,,,Mitte,Tiergarten,10785,Lützowstr. 83-85,257572710,257572734,"<a href=""mailto:berlin@allegro-grundschule.de"">berlin@allegro-grundschule.de</a>","<A HREF=""http://www.allegro-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Bianka Flemig
1486391.9607,6879594.7524,18,s_schulen.06G20,Alt-Lankwitzer Grundschule,Grundschule,Bezirk,Grundschule,,,,Steglitz-Zehlendorf,Lankwitz,12247,Schulstr. 17-21,7668790,76687918,"<a href=""mailto:buero.alt-lankwitzer-gs@t-online.de"">buero.alt-lankwitzer-gs@t-online.de</a>","<A HREF=""http://www.alt-lankwitzer-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Angela Efinger
1479836.4971,6886829.9295,19,s_schulen.04G23,Alt-Schmargendorf-Grundschule,Grundschule,Bezirk,Grundschule,,,,Charlottenburg-Wilmersdorf,Schmargendorf,14199,Reichenhaller Str. 8,810567670,8105676729,"<a href=""mailto:asgbialek@t-online.de"">asgbialek@t-online.de</a>","<A HREF=""http://www.alt-schmargendorf-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Peter Obst
1512686.5562,6880821.1535,20,s_schulen.09G19,Amtsfeld-Schule (Grundschule),Grundschule,Bezirk,Grundschule,,,,Treptow-Köpenick,Köpenick,12559,Pablo-Neruda-Str. 8,6540192,6540058,"<a href=""mailto:Amtsfeld-Grundschule@t-online.de"">Amtsfeld-Grundschule@t-online.de</a>","<A HREF=""http://www.amtsfeld-schule.de"" TARGET=""Schulen"">zur Website</a>",Bettina Schulz
1490433.4749,6903026.9743,21,s_schulen.01G36,Andersen-Grundschule,Grundschule,Bezirk,Grundschule,,,,Mitte,Gesundbrunnen,13359,Kattegatstr. 26,493015410,493015420,"<a href=""mailto:Andersen-Grundschule@web.de"">Andersen-Grundschule@web.de</a>","<A HREF=""http://www.andersen.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Klaus-Dieter Lambrecht
1495545.6505,6893604.0013,22,s_schulen.02Y01,Andreas-Oberschule,Gymnasium,Bezirk,Gymnasien,,,,Friedrichshain-Kreuzberg,Friedrichshain,10243,Koppenstr. 76,29369020,2936902199,"<a href=""mailto:buero@andreas-schule.org"">buero@andreas-schule.org</a>","<A HREF=""http://www.andreas-gym.de"" TARGET=""Schulen"">zur Website</a>",Andreas Steiner
1485216.569,6900287.7567,23,s_schulen.01G42,Anna-Lindh-Schule (Grundschule),Grundschule,Bezirk,Grundschule,,,,Mitte,Wedding,13351,Guineastr. 17-18,45307530,45307520,"<a href=""mailto:anna-lindh-schule.cids@t-online.de"">anna-lindh-schule.cids@t-online.de</a>","<A HREF=""http://www.annalindh.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Dr. Thomas Leeb
1508214.3655,6879193.8796,24,s_schulen.09K02,Anna-Seghers-Schule (Gemeinschaftsschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,Grundschule,,,Treptow-Köpenick,Adlershof,12489,Radickestr. 43,6774766,6774713,"<a href=""mailto:kontakt@anna-seghers-os.de"">kontakt@anna-seghers-os.de</a>","<A HREF=""http://www.anna-seghers-os.de"" TARGET=""Schulen"">zur Website</a>",Angelika Jurczyk
1491848.0874,6872472.105,25,s_schulen.07G30,Annedore-Leber-Grundschule,Grundschule,Bezirk,Grundschule,,,,Tempelhof-Schöneberg,Lichtenrade,12305,Halker Zeile 137-149,902778243,902778223,"<a href=""mailto:Annedore-Leber-GS.cids@t-online.de"">Annedore-Leber-GS.cids@t-online.de</a>","<A HREF=""http://www.algs.de"" TARGET=""Schulen"">zur Website</a>",komm. Angelika Corduan
1486783.3778,6894354.5671,26,s_schulen.01G15,Anne-Frank-Grundschule,Grundschule,Bezirk,Grundschule,,,,Mitte,Moabit,10557,Paulstr. 20B,20629180,20629188,"<a href=""mailto:sekretariat@anne-frank-grundschule.de"">sekretariat@anne-frank-grundschule.de</a>","<A HREF=""http://anne-frank-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Harry Hun
1505544.9757,6872764.0463,27,s_schulen.09Y04,Anne-Frank-Gymnasium,Gymnasium,Bezirk,Gymnasien,,,,Treptow-Köpenick,Altglienicke,12524,Uranusstr. 15 -17,51653360,516533620,"<a href=""mailto:sekretariat@anne-frank-schule-berlin.de"">sekretariat@anne-frank-schule-berlin.de</a>","<A HREF=""http://www.anne-frank-schule-berlin.de"" TARGET=""Schulen"">zur Website</a>",Axel Raffelt
1505367.3361,6882151.1723,28,s_schulen.09Y03,Archenhold-Gymnasium,Gymnasium,Bezirk,Gymnasien,,,,Treptow-Köpenick,Niederschöneweide,12439,Rudower Str. 7,6360195,6360185,"<a href=""mailto:sekretariat@archenhold.de"">sekretariat@archenhold.de</a>","<A HREF=""http://www.archenhold-gymnasium.de"" TARGET=""Schulen"">zur Website</a>",Michael Uhlig
1478350.7342,6883561.8346,29,s_schulen.06Y03,Arndt-Gymnasium Dahlem,Gymnasium,Bezirk,Gymnasien,,,,Steglitz-Zehlendorf,Dahlem,14195,Königin-Luise-Str. 80-84,8315052,8311002,"<a href=""mailto:sekretariat@arndt-gymnasium.de"">sekretariat@arndt-gymnasium.de</a>","<A HREF=""http://www.arndt-gymnasium.de"" TARGET=""Schulen"">zur Website</a>",Dr.Ute Stäbe-Wegemund
1481354.482,6893766.8141,30,s_schulen.04S02,Arno-Fuchs-Schule,"Förderschwerp. ""Geistige Entwicklung""",Bezirk,"Förderschwerp.""Geistige Entwicklung""",,,,Charlottenburg-Wilmersdorf,Charlottenburg,10585,Richard-Wagner-Str. 30,902913250,902913259,"<a href=""mailto:afs-stowasser@t-online.de"">afs-stowasser@t-online.de</a>","<A HREF=""http://www.arno-fuchs-schule.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Sabine Stowasser-Gutkuhn
1491678.2375,6903583.8149,31,s_schulen.03G26,Arnold-Zweig-Grundschule,Grundschule,Bezirk,Grundschule,,,,Pankow,Pankow,13187,Wollankstr. 131,49790970,49790979,"<a href=""mailto:arnold-zweig-grundschule@t-online.de"">arnold-zweig-grundschule@t-online.de</a>","<A HREF=""http://www.arnold-zweig-schule.de"" TARGET=""Schulen"">zur Website</a>",Birgit Leutloff
1468421.552,6898311.3275,32,s_schulen.05G15,Askanier-Grundschule,Grundschule,Bezirk,Grundschule,,,,Spandau,Spandau,13583,Borkzeile 34,36753860,367538622,"<a href=""mailto:Info@askanier-g.cidsnet.de"">Info@askanier-g.cidsnet.de</a>","<A HREF=""http://www.askanier-g.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Thomas Berlin
1489435.1566,6883710.8963,33,s_schulen.07Y06,Askanisches-Gymnasium,Gymnasium,Bezirk,Gymnasien,,,,Tempelhof-Schöneberg,Tempelhof,12103,Kaiserin-Augusta-Str. 19,902772679,902772695,"<a href=""mailto:aska.berlin@t-online.de"">aska.berlin@t-online.de</a>","<A HREF=""http://www.aska.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Ulrich Forwergck
1464601.0117,6896689.5471,34,s_schulen.05G17,Astrid-Lindgren-Grundschule,Grundschule,Bezirk,Grundschule,,,,Spandau,Staaken,13591,Südekumzeile 5,3758620,37586222,"<a href=""mailto:astrid@lindgrenschule.de"">astrid@lindgrenschule.de</a>","<A HREF=""http://www.lindgrenschule.de"" TARGET=""Schulen"">zur Website</a>",Edith Richter
1479558.5586,6880235.7265,35,s_schulen.06G18,Athene-Grundschule,Grundschule,Bezirk,Grundschule,,,,Steglitz-Zehlendorf,Lichterfelde,12205,Curtiusstr. 37,81009710,81009739,"<a href=""mailto:info@athene-grundschule.de"">info@athene-grundschule.de</a>","<A HREF=""http://www.athene-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Bernhard Sommer
1492323.661,6889815.8443,36,s_schulen.02G33,Aziz-Nesin-Grundschule,Grundschule,Bezirk,Grundschule,,,,Friedrichshain-Kreuzberg,Kreuzberg,10961,Urbanstr. 15,902983731,902983735,"<a href=""mailto:info@aziz-nesin-g.cidsnet.de"">info@aziz-nesin-g.cidsnet.de</a>","<A HREF=""http://www.aziz-g.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Demet Siemund
