School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21;HIN_Wechselwunsch_Total_19_20;HIN_Wechselwunsch_In_Bezirk_19_20;HIN_Wechselwunsch_Aus_a_Bezirk_19_20;AUS_Wechselwunsch_Total_19_20;AUS_Wechselwunsch_In_Bezirk_19_20;AUS_Wechselwunsch_Aus_a_Bezirk_19_20;HIN_Wechselwunsch_Total_20_21;HIN_Wechselwunsch_In_Bezirk_20_21;HIN_Wechselwunsch_Aus_a_Bezirk_20_21;HIN_Wechselwunsch_Aufnahme_20_21;HIN_Wechselwunsch_Ablehung_20_21;AUS_Wechselwunsch_Total_20_21;AUS_Wechselwunsch_In_Bezirk_20_21;AUS_Wechselwunsch_Aus_a_Bezirk_20_21;AUS_Wechselwunsch_Aufnahme_20_21;AUS_Wechselwunsch_Ablehung_20_21;acceptance_ratio_19_20;acceptance_ratio_20_21;exit_rate_19_20;exit_rate_20_21;inbound_rate_19_20;inbound_rate_20_21;Wechselwunsch_balance_19_20;Wechselwunsch_balance_20_21;ESB_capacity_balance_2019_20;ESB_capacity_balance_2020_21;X;Y;FID;GmlID;SCHULNAME;SCHULART;TRAEGER;ZWEIG_01;ZWEIG_02;ZWEIG_03;ZWEIG_04;BEZIRK;ORTSTEIL;F_PLZ;ADRESSE;TELEFON;F_FAX;F_EMAIL;INTERNET;LEITUNG;lon;lat
01G01;Grundschule am Arkonaplatz;51;77;45;45;;52;99;66;52;4;32;28;4;15;0;15;33;26;7;1;30;11;11;;7;3;66;53;29;21;63;63;33;42;6;-15;14.917067136;68.978465285;174;s_schulen.01G01;Grundschule am Arkonaplatz;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10115;Ruppiner Str. 47-48;48625680;486256820;"<a href=""""mailto:info@grundschule-am-arkonaplatz.de"""">info@grundschule-am-arkonaplatz.de</a>";"<A HREF=""""http://www.grundschuleamarkonaplatz.de"""" TARGET=""""Schulen"""">zur Website</a>";Monika Große;13.3989194785343;52.537207743412
01G01;Grundschule am Arkonaplatz  / SESB;26;65;;24;39;26;64;1;;1;;;;;;;;;;;;;;;;;40;41;;;;;;;;25;14.917067136;68.978465285;174;s_schulen.01G01;Grundschule am Arkonaplatz;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10115;Ruppiner Str. 47-48;48625680;486256820;"<a href=""""mailto:info@grundschule-am-arkonaplatz.de"""">info@grundschule-am-arkonaplatz.de</a>";"<A HREF=""""http://www.grundschuleamarkonaplatz.de"""" TARGET=""""Schulen"""">zur Website</a>";Monika Große;13.3993171520844;52.5350876011292
01G02;Papageno-Grundschule;99;200;72;69;9;98;166;80;66;;112;108;4;22;6;16;86;82;4;15;56;14;14;;11;1;50;59;22;14;113;88;91;73;27;19;14.907041504;68.970379502;435;s_schulen.01G02;Papageno-Grundschule;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10115;Bergstr. 58;30881711;30881710;"<a href=""""mailto:papageno-grundschule.cids@t-online.de"""">papageno-grundschule.cids@t-online.de</a>";"<A HREF=""""http://www.papageno.cidsnet.de"""" TARGET=""""Schulen"""">zur Website</a>";Brigitte Stemmler;13.3926207875651;52.5333865187437
01G04;Kastanienbaum-Grundschule;65;71;46;46;;67;97;81;62;;21;17;4;45;15;30;20;15;5;11;8;36;36;;20;5;92;69;69;54;32;30;-37;-24;19;-16;14.918889054;68.959186078;327;s_schulen.01G04;Kastanienbaum-Grundschule;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10119;Gipsstr. 23A;275816330;275816350;"<a href=""""mailto:sekretariat@kastanienbaumgrundschule.de"""">sekretariat@kastanienbaumgrundschule.de</a>";"<A HREF=""""http://www.kastanienbaumgrundschule.de"""" TARGET=""""Schulen"""">zur Website</a>";Margit Neßnau;13.4015683695033;52.5256105375372
01G05;Grundschule Neues Tor;24;23;8;8;;24;14;17;16;;17;16;1;8;7;1;22;20;2;1;4;14;14;;8;3;104;171;33;58;71;92;38;33;16;7;14.895170743;68.960422305;229;s_schulen.01G05;Grundschule Neues Tor;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10115;Hannoversche Str. 20;24088330;24088340;"<a href=""""mailto:grafenhorst@neues-tor.de"""">grafenhorst@neues-tor.de</a>";"<A HREF=""""http://www.neues-tor.de"""" TARGET=""""Schulen"""">zur Website</a>";Helga Grafenhorst;13.3813820185893;52.527114696854
01G05;Grundschule Neues Tor  / SESB;52;57;;49;7;26;79;2;2;;57;29;28;;;;79;36;43;48;27;;;;;;91;33;;;110;304;;;;50;14.895170743;68.960422305;229;s_schulen.01G05;Grundschule Neues Tor;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10115;Hannoversche Str. 20;24088330;24088340;"<a href=""""mailto:grafenhorst@neues-tor.de"""">grafenhorst@neues-tor.de</a>";"<A HREF=""""http://www.neues-tor.de"""" TARGET=""""Schulen"""">zur Website</a>";Helga Grafenhorst;13.381879042115;52.5281393755732
01G07;GutsMuths-Grundschule;64;77;53;53;;65;97;82;65;6;13;5;8;32;8;24;15;6;9;;15;25;25;;10;13;83;67;50;38;20;23;-30;-15;11;-18;14.943977168;68.939991664;246;s_schulen.01G07;GutsMuths-Grundschule;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10179;Singerstr. 8;2408386;24083888;"<a href=""""mailto:GutsMuths-Grundschule@t-online.de"""">GutsMuths-Grundschule@t-online.de</a>";"<A HREF=""""http://www.gutsmuths-g.cidsnet.de"""" TARGET=""""Schulen"""">zur Website</a>";Jacqueline Schlaak;13.4220912132858;52.5165051575171
01G08;Grundschule am Brandenburger Tor;55;56;48;46;;49;81;74;46;6;8;3;5;38;18;20;7;2;5;;7;50;50;;24;19;98;60;69;102;15;14;-55;-88;7;-19;14.897649865;68.934416868;177;s_schulen.01G08;Grundschule am Brandenburger Tor;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10117;Wilhelmstr. 52;20629430;20629440;"<a href=""""mailto:GS_am_Brandenburger_Tor.cids@t-online.de"""">GS_am_Brandenburger_Tor.cids@t-online.de</a>";"<A HREF=""""http://www.Grundschule-am-Brandenburger-Tor.d"""" TARGET=""""Schulen"""">zur Website</a>";Axel Köller;13.3824853092455;52.5151123014247
01G08;Grundschule am Brandenburger Tor  /  SESB;52;75;;48;5;52;93;9;8;1;;;;;;;;;;;;;;;;;69;56;;;;;;;;43;14.897649865;68.934416868;177;s_schulen.01G08;Grundschule am Brandenburger Tor;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10117;Wilhelmstr. 52;20629430;20629440;"<a href=""""mailto:GS_am_Brandenburger_Tor.cids@t-online.de"""">GS_am_Brandenburger_Tor.cids@t-online.de</a>";"<A HREF=""""http://www.Grundschule-am-Brandenburger-Tor.d"""" TARGET=""""Schulen"""">zur Website</a>";Axel Köller;13.383353890465;52.5147446861189
01G10;City-Grundschule;89;112;83;83;;120;119;93;84;;33;7;26;56;12;44;26;3;23;24;;53;53;;19;30;79;101;63;44;37;22;-26;-22;6;-4;14.926308285;68.924179884;90;s_schulen.01G10;City-Grundschule;Grundschule;Bezirk;Grundschule;"";"";"";Mitte;Mitte;10179;Sebastianstr. 57;28449060;28449070;"<a href=""""mailto:info@city-grundschule.de"""">info@city-grundschule.de</a>";"<A HREF=""""http://www.city-grundschule.de"""" TARGET=""""Schulen"""">zur Website</a>";Hans-Joachim Schmidt;13.4107618945642;52.5091359907648
