,SchulNr,Unnamed: 1,Name,Unnamed: 3,Schulart,Unnamed: 5,Bezirk,Unnamed: 7,Ortsteil,Unnamed: 9,Unnamed: 10,url
1,01G48,,48. Schule (Grundschule),,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22659
2,01P50,,Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft,,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22562
3,01A07,,7. Schulpraktisches Seminar Mitte (für Reinickendorf),,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22595
4,01A01,,1. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22516
5,01A10,,9. Schulpraktisches Seminar Mitte (für Pankow),,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22670
6,01A05,,5. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22629
7,01A09,,3. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22645
8,01A08,,8. Schulpraktisches Seminar Mitte (für Pankow),,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22646
9,01A02,,2. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21791
10,01A03,,6. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21792
11,01A06,,4. Schulpraktisches Seminar Mitte,,Schulpraktisches Seminar,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22545
12,01S01,,Schule am Zille-Park,,"Förderschwerp. ""Lernen""",,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21672
13,01S01,,Schule am Zille-Park,,"Förderschwerp. ""Lernen""",,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21673
14,01S01,,Schule am Zille-Park,,"Förderschwerp. ""Lernen""",,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21674
15,01S01,,Schule am Zille-Park,,"Förderschwerp. ""Lernen""",,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21675
16,01G28,,Brüder-Grimm-Grundschule,,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21715
17,01K10,,Theodor-Heuss-Gemeinschaftsschule,,Gemeinschaftsschule,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22531
18,01G45,,Leo-Lionni-Grundschule,,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21739
19,01G11,,Kurt-Tucholsky-Grundschule,,Grundschule,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21696
20,01P18,,Bilinguale Schule Phorms Berlin Mitte,,Kombinierte allgemein bildende Schule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21785
